�..sale_date,chrome_style_id,country_code,customer_postal_code,days_in_inventory,dealership_id,dealership_postal_code,dma_id,finance_type,make_name,model_name,model_year,new_or_used,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
1/3/2019 0:00,399266,US,33909,22,9028,33907,571,LOAN,Toyota,Corolla,2019,NEW,5,19261.93,20030,16639,autonation,,FL,L CVT,5,FALSE,16935.17,GREAT,17356.44,FALSE,0.845490265
1/3/2019 0:00,399266,US,29341,19,8416,29301,567,,Toyota,Corolla,2019,NEW,3,21647.92,20329,17327.57,reynolds,RETAIL,SC,L CVT,5,FALSE,17355.29,GREAT,17763.56,FALSE,0.853720793
1/3/2019 0:00,399266,US,80130,64,3245,80112,751,LOAN,Toyota,Corolla,2019,NEW,2,20508.77,21565,18008,autonation,,CO,L CVT,6,FALSE,18328.54,GREAT,18762.81,FALSE,0.849920705
1/3/2019 0:00,399266,US,86301-4338,NA,99786,86301,753,CASH,Toyota,Corolla,2019,NEW,NA,NA,NA,NA,dmi,,AZ,L CVT,7,FALSE,,,NA,NA,
1/3/2019 0:00,394977,US,19805-1152,NA,3097,19711,504,CASH,Toyota,RAV4,2018,NEW,135,NA,27458,24524,dmi,,DE,LE AWD,3,FALSE,24756.97,BELOW_MARKET,26512.97,FALSE,0.90163049
1/3/2019 0:00,403966,US,46307,5,26152,46375,602,,Toyota,RAV4,2019,NEW,4,25051.21,26814,26500,reynolds,RETAIL,IN,LE FWD,2,FALSE,24700.46,LOW_OUTLIER,26646.59,TRUE,0.921177743
1/3/2019 0:00,403980,US,07724-2522,NA,7003,7424,501,CASH,Toyota,RAV4,2019,NEW,NA,NA,NA,NA,dmi,,NJ,Adventure AWD,3,FALSE,,,NA,NA,
1/3/2019 0:00,403980,US,07631-4137,NA,17369,8902,501,LOAN,Toyota,RAV4,2019,NEW,5,34699.77,36443,35500,dmi,RETAIL,NJ,Adventure AWD,3,FALSE,36846.75,GOOD,36414.12,FALSE,1.011078945
1/3/2019 0:00,394989,US,62034,45,5359,62002,609,,Toyota,RAV4,2018,NEW,15,31251.77,33346,33346,reynolds,RETAIL,IL,SE AWD,2,FALSE,31651.56,GREAT,31945.76,FALSE,0.949186109
1/3/2019 0:00,394980,US,6107,58,15281,6010,533,,Toyota,RAV4,2018,NEW,15,29317.77,30274,28158,reynolds,RETAIL,CT,XLE AWD,3,FALSE,28203.05,BELOW_MARKET,29913.3,FALSE,0.931593116
1/3/2019 0:00,402804,US,11377,8,2376,7081,501,,Acura,MDX,2019,NEW,29,48726.97,52295,48626.97,netlink,DEALER_TRADE,NJ,SH-AWD with Technology Package,3,FALSE,48845.79,ABOVE_MARKET,46103.09,FALSE,0.934043216
1/3/2019 0:00,402785,US,01545-3303,NA,3844,2155,506,CASH,Lincoln,Navigator,2019,NEW,NA,NA,NA,NA,dmi,,MA,Reserve 4WD,3,FALSE,,,NA,TRUE,
1/3/2019 0:00,392014,US,91204-2109,NA,48243,92675,803,LOAN,Nissan,Rogue,2018,NEW,5,27399,28555,26993,dmi,DEALER_TRADE,CA,SV FWD,7,FALSE,27249.43,GOOD,27082.95,FALSE,0.95427876
1/3/2019 0:00,392017,US,44121,133,3509,44146,510,,Nissan,Rogue,2018,NEW,3,30256,31860,30256,reynolds,RETAIL,OH,SV AWD,2,FALSE,30304.4,GOOD,30227.27,FALSE,0.951173886
1/3/2019 0:00,394475,US,74008,NA,8777,74012,671,CASH,Nissan,Murano,2018,NEW,NA,NA,NA,NA,dmi,,OK,SL FWD,6,FALSE,,,NA,NA,
1/3/2019 0:00,394479,US,98506,106,6486,98502,819,LEASE,Nissan,Murano,2018,NEW,12,NA,43485,NA,netlink,RETAIL,WA,SL AWD,4,FALSE,,,NA,TRUE,
