dma_id,finance_type,make_name,model_name,model_year,odometer,price_invoice,price_msrp,price_retail,provider_name,sale_type,state,style_name,tc_region_id,truecar_sale,adjusted_sale_price,curve_rating,curve_average_market_price,discarded,price_ratio
610,LOAN,Ford,Focus,2018,7,21084.48,22015,20449.48,dmi,DEALER_TRADE,IL,SE Sedan,2,FALSE,20643.75,GREAT,21550.49,FALSE,0.937712923
564,LOAN,Ford,Focus,2018,173,36066.74,22505,21555,dmi,UNKNOWN,WV,SE Hatchback,5,FALSE,21759.77,GOOD,21275.15,FALSE,0.966886025
627,LOAN,Ford,Explorer,2019,185,40675.96,37080.58,41565,dmi,RETAIL,TX,XLT FWD,6,FALSE,42616.04,GOOD,41474.52,FALSE,0.91151
803,LOAN,Ford,Explorer,2019,24,32966.38,37080.58,32500,dmi,RETAIL,CA,XLT FWD,7,FALSE,32808.75,BELOW_MARKET,34899.95,FALSE,0.91151
839,UNKNOWN,Ford,Explorer,2018,19,34448.9,36600,33400,reynolds,RETAIL,NV,XLT FWD,7,FALSE,33453.44,GOOD,33331.5,FALSE,0.914028415
524,UNKNOWN,Ford,Explorer,2018,16,42475.96,44170,42275.96,reynolds,DEALER_TRADE,GA,Limited FWD,5,FALSE,42343.6,GOOD,41182.54,FALSE,0.958650668
807,UNKNOWN,Ford,Explorer,2018,195,43371.86,45360,39220,reynolds,FLEET,CA,XLT 4WD,7,FALSE,39282.75,LOW_OUTLIER,42603.12,FALSE,0.866021825
618,UNKNOWN,Ford,Explorer,2019,238,50843.96,54570,52296,reynolds,RETAIL,TX,Sport 4WD,6,TRUE,52379.67,GOOD,51824.49,FALSE,0.959862012
625,UNKNOWN,Ford,Explorer,2019,113,51801.68,54025,52009.96,reynolds,RETAIL,TX,Sport 4WD,6,FALSE,52093.17,GOOD,51646.28,FALSE,0.964241925
751,LOAN,Ford,Escape,2018,2339,24106.68,24905,24905,dmi,RETAIL,CO,S FWD,6,FALSE,18579.84,LOW_OUTLIER,23713.49,TRUE,0.746028508
839,UNKNOWN,Ford,Escape,2018,43,24446.43,24935,24049,reynolds,RETAIL,NV,S FWD,7,FALSE,24087.47,ABOVE_MARKET,22958.72,TRUE,0.966010427
548,UNKNOWN,Ford,Escape,2019,40,26385.67,27495,26958.84,reynolds,RETAIL,FL,SE FWD,5,FALSE,27001.97,GOOD,26265.5,FALSE,0.982068376
618,UNKNOWN,Ford,Super Duty F-250,2019,5,35077.72,45125,35077.72,reynolds,DEALER_TRADE,TX,XL 4WD Crew Cab 6.75' Box,6,FALSE,35133.84,LOW_OUTLIER,43837.04,TRUE,0.778589252
642,UNKNOWN,Ford,Super Duty F-250,2019,5,69344.04,73180,67180,reynolds,RETAIL,LA,XL 4WD Crew Cab 6.75' Box,6,FALSE,67287.48,GOOD,67015.14,FALSE,0.919479093
501,CASH,Ford,Super Duty F-250,2019,11,54679.04,57715,54679.04,dmi,FLEET,NJ,XL 4WD SuperCab 6.75' Box,3,FALSE,55198.49,LOW_OUTLIER,61979.86,FALSE,0.956397644
820,UNKNOWN,Ford,Super Duty F-350,2019,1,64876.28,70930,64766.28,netlink,DEALER_TRADE,OR,XL 4WD Crew Cab 6.75' Box SRW,4,FALSE,65057.72,LOW_OUTLIER,68190.95,FALSE,0.917210207
670,LOAN,Ford,Super Duty F-350,2019,20,75854.88,80400,78900,dmi,RETAIL,AR,XL 4WD Crew Cab 6.75' Box SRW,6,FALSE,74602.05,LOW_OUTLIER,118216.15,TRUE,0.927886194
623,LOAN,Ford,F-150,2018,5,49744.12,53375,48350.12,dmi,DEALER_TRADE,TX,XL 4WD SuperCrew 5.5' Box,6,FALSE,48809.44,LOW_OUTLIER,52648.13,FALSE,0.914462576
752,LOAN,Ford,Escape,2018,2658,35067.52,37770,35287,netlink,RETAIL,CO,Titanium 4WD,6,FALSE,35445.79,GREAT,36154.23,FALSE,0.938464125
511,UNKNOWN,Ford,Escape,2019,5,35419.72,38100,36458.72,netlink,DEALER_TRADE,VA,Titanium AWD,5,FALSE,36622.78,ABOVE_MARKET,34792.14,FALSE,0.961227822
